"日期","收盘","开盘","高","低","交易量","涨跌幅"
"2025-3-7","3,942.80","3,945.20","3,964.80","3,933.00","65.17K","-0.44%"
"2025-3-6","3,960.20","3,917.60","3,969.00","3,916.00","95.18K","1.64%"
"2025-3-5","3,896.20","3,885.00","3,903.00","3,871.40","71.49K","0.35%"
"2025-3-4","3,882.60","3,870.00","3,891.00","3,858.80","72.63K","-0.05%"
"2025-3-3","3,884.40","3,908.00","3,935.00","3,871.80","93.14K","-0.34%"
"2025-2-28","3,897.60","3,955.00","3,970.00","3,887.40","104.26K","-1.62%"
"2025-2-27","3,961.80","3,957.00","3,975.00","3,931.00","94.35K","0.26%"
"2025-2-26","3,951.60","3,935.60","3,961.00","3,922.60","88.38K","0.63%"
"2025-2-25","3,926.80","3,930.00","3,956.60","3,913.00","83.45K","-0.84%"
"2025-2-24","3,960.20","3,978.00","3,995.80","3,946.00","90.21K","-0.35%"
"2025-2-21","3,974.10","3,934.60","3,981.40","3,925.20","9.56K","1.20%"
"2025-2-20","3,927.00","3,930.20","3,938.00","3,912.80","17.64K","-0.27%"
"2025-2-19","3,937.80","3,914.00","3,947.80","3,906.00","22.84K","0.55%"
"2025-2-18","3,916.40","3,939.80","3,965.00","3,900.00","28.00K","-0.52%"
"2025-2-17","3,937.00","3,957.20","3,960.00","3,916.40","26.49K","-0.02%"
"2025-2-14","3,937.80","3,915.40","3,946.80","3,902.80","28.80K","0.54%"
"2025-2-13","3,916.80","3,907.20","3,939.00","3,901.00","28.34K","0.27%"
"2025-2-12","3,906.40","3,880.00","3,926.00","3,865.20","28.45K","0.70%"
"2025-2-11","3,879.20","3,908.60","3,908.60","3,868.00","21.31K","-0.53%"
"2025-2-10","3,900.00","3,900.00","3,908.60","3,880.60","25.68K","0.56%"
